sa2_code,sa2_name,earners2015-2016,earners2016-2017,earners2017-2018,earners2018-2019,earners2019-2020,median_age2015-2016,median_age2016-2017,median_age2017-2018,median_age2018-2019,median_age2019-2020,earningsum2015-2016,earningsum2016-2017,earningsum2017-2018,earningsum2018-2019,earningsum2019-2020,earningmedian2015-2016,earningmedian2016-2017,earningmedian2017-2018,earningmedian2018-2019,earningmedian2019-2020,eariningmean2015-2016,eariningmean2016-2017,eariningmean2017-2018,eariningmean2018-2019,eariningmean2019-2020
505011077,Joondalup - Edgewater,8904,8650,8586,8526,8614,41,42,42,42,42,556150063,519628761,524966412,531687360,554668487,51123,48878,49706,52199,53002,62461,60073,61142,62361,64392
505011078,Kingsley,8241,8007,8036,7976,7986,46,47,47,47,47,545490571,522683758,530539681,537203814,548515128,53640,53483,53524,54246,55875,66192,65278,66020,67353,68685
505011079,Mullaloo - Kallaroo,7283,7329,7351,7351,7402,46,46,46,46,46,537543750,530666530,531974281,550682075,574642205,53847,53234,53339,55468,56962,73808,72406,72368,74913,77633
505011080,Ocean Reef,5410,5384,5324,5341,5304,47,47,47,48,48,390857413,371187155,371566039,388299781,397125297,53909,51737,52576,53788,55841,72247,68943,69791,72702,74873
505011081,Padbury,5353,5219,5139,5166,5227,41,42,42,42,42,342271585,323990885,328772175,338762090,355450211,53612,52139,54295,55494,57763,63940,62079,63976,65575,68003
505011082,Sorrento - Marmion,6870,6808,6876,6902,6935,49,50,50,49,50,597816303,575553292,593213314,613778977,629715462,56917,55853,56937,58474,60356,87018,84541,86273,88928,90803
505011083,Woodvale,6436,6395,6397,6326,6393,47,47,48,48,48,451747533,437100019,437007339,444297855,458701467,54947,52842,52963,54127,56015,70191,68350,68314,70234,71751
505021084,Balcatta - Hamersley,9453,9366,9367,9429,9539,40,40,41,41,41,572434581,546972549,557699286,575540740,598872658,51437,50081,51843,52916,53763,60556,58400,59539,61039,62781
505021085,Balga - Mirrabooka,9589,9638,9935,10186,10458,35,36,36,36,36,453070574,441575811,464277158,492055722,518584606,43771,42386,42748,44776,45105,47249,45816,46731,48307,49587
505021086,Dianella,14951,14760,14932,14899,15169,44,44,45,45,45,982134197,940153879,954599572,977826449,1019244995,49590,47650,47734,50293,50962,65690,63696,63930,65630,67193
505021087,Herdsman,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
505021088,Innaloo - Doubleview,10847,11212,11367,11522,11605,36,36,37,37,38,818042180,822892336,852172461,884996681,914448055,61822,60254,61966,63614,66228,75416,73394,74969,76809,78798
505021089,Karrinyup - Gwelup - Carine,12861,13208,13320,13389,13586,46,46,46,46,47,1022970202,1029056241,1043107441,1081146031,1127966520,58495,57892,57584,60009,62203,79540,77912,78311,80749,83024
505021090,Nollamara - Westminster,10338,10654,10880,11250,11516,34,34,34,35,35,574896000,563775998,585994015,610940403,641295692,49831,47922,48819,49588,50504,55610,52917,53860,54306,55687
505021091,Osborne Park Industrial,110,155,206,306,331,49,50,41,38,41,14534390,18363539,20543258,23952100,20535276,72461,48634,54067,48762,50320,132131,118474,99725,78275,62040
505021092,Scarborough,11349,11638,11696,11903,12242,36,36,37,37,37,880955058,867544318,885133805,916838996,974635194,60144,59034,59949,62503,64726,77624,74544,75678,77026,79614
505021093,Stirling - Osborne Park,9199,9199,9218,9255,9507,40,40,40,40,40,646587194,622763201,631527523,647560571,678739710,53910,51316,52569,53192,53970,70289,67699,68510,69969,71394
505021094,Trigg - North Beach - Watermans Bay,5182,5226,5257,5303,5321,47,47,47,48,48,469275374,462157174,478468804,518917263,533048444,60928,58763,59921,62779,66641,90559,88434,91016,97854,100178
505021095,Tuart Hill - Joondanna,7694,7659,7880,8074,8268,35,36,37,37,37,511087050,491693817,503142026,519560587,542625048,55882,54912,54794,54991,56490,66427,64198,63851,64350,65630
505021096,Wembley Downs - Churchlands - Woodlands,9197,9340,9323,9399,9533,46,46,47,47,47,814910898,799640850,824857188,875040681,883231093,56778,56081,57453,59401,61516,88606,85615,88476,93099,92650
505021097,Yokine - Coolbinia - Menora,10094,10050,10199,10434,10687,42,42,42,42,42,756614429,729929141,752763852,783007075,828025406,53928,53366,54351,55404,57265,74957,72630,73808,75044,77480
505031098,Alexander Heights - Koondoola,6181,6039,6139,6154,6168,42,42,42,42,42,322490177,306101246,314258698,321286265,327256333,45780,43850,45805,47109,47327,52174,50687,51191,52208,53057
505031099,Butler - Merriwa - Ridgewood,11873,11988,12154,12405,12569,38,39,39,39,39,697851499,680475432,705799511,734588680,764837345,49527,48218,49384,50939,51892,58776,56763,58071,59217,60851
505031100,Carramar,9456,9947,10282,10617,10798,37,37,37,38,38,602030525,613868472,645654083,681695778,711127962,54708,53249,54950,56599,57528,63667,61714,62795,64208,65857
505031101,Clarkson,7488,7734,7838,8084,8071,37,37,37,38,38,443686408,446418177,461017768,485351185,500751323,50811,49604,51274,52889,54512,59253,57722,58818,60038,62043
505031102,Girrawheen,4004,3929,3954,4090,4185,38,38,39,38,39,191911237,182896203,186761602,197498301,206033230,43770,43199,42736,44075,44469,47930,46550,47234,48288,49231
505031103,Madeley - Darch - Landsdale,14993,15941,16537,17099,17502,40,40,40,40,40,982022994,1021727942,1068723531,1141329541,1200342680,54236,53193,53898,55311,56354,65499,64094,64626,66748,68583
505031104,Marangaroo,5717,5656,5636,5627,5645,40,41,41,41,41,297867783,288062752,289443847,297774797,301242070,45595,44710,45100,47075,47409,52102,50930,51356,52919,53364
505031105,Mindarie - Quinns Rocks - Jindalee,11525,11805,12254,12619,13027,45,45,45,45,46,832767892,817634555,870337231,902810985,961381227,53325,52307,53570,54964,56841,72258,69262,71025,71544,73799
505031106,Neerabup National Park,np,7,4,np,6,np,41,42,np,38,np,525016,282991,np,295059,np,39736,60564,np,27125,np,75002,70748,np,49177
505031107,Tapping - Ashby - Sinagra,7851,7795,7852,7885,7940,40,40,41,41,41,516169870,503342954,506680121,524383377,542321026,55072,54470,54962,56540,57861,65746,64573,64529,66504,68302
505031108,Wanneroo,15335,15495,15599,15984,16205,40,40,40,40,40,979600063,951604495,972180853,1018578911,1066794732,52917,51469,52670,54093,55931,63880,61414,62323,63725,65831
505031255,Alkimos - Eglinton,4571,5595,6112,6815,7533,33,34,34,35,35,298716255,357156704,396426028,454562269,512359032,57216,56157,57457,59000,60425,65350,63835,64860,66700,68015
505031256,Carabooda - Pinjar,484,509,492,492,457,46,45,47,47,47,30058722,31828330,31885435,32667720,29982070,49332,47478,42723,44480,51673,62105,62531,64808,66398,65606
505031257,Two Rocks,1558,1677,1800,1867,1989,44,44,44,44,44,96061365,100604788,111518341,119206950,130149848,46744,46164,49286,51831,51639,61657,59991,61955,63849,65435
505031258,Yanchep,4665,5043,5278,5501,5688,41,41,41,41,41,297521457,314033505,329907178,352469613,374402508,52620,50848,51364,53521,55021,63777,62271,62506,64074,65823
