postcode,sa2_maincode_2016
3029,213051366
3030,213011330
3030,213051368
3030,213051466
3030,213051369
3031,206031115
3031,206041121
3032,206031113
3032,213031349
3032,206031115
3033,210011228
3034,210011229
3036,210011228
3036,213011340
3037,213011340
3037,213011331
3037,213041355
3037,213011339
3037,213041360
3038,213011332
3038,213011340
3039,206031116
3040,206031114
3040,210011230
3041,210011227
3041,206031114
3041,210011231
3042,210011226
3042,210011228
3042,210011230
3043,210051245
3043,210031439
3043,210051250
3044,210031239
3044,206011109
3045,210051248
3046,210031438
3046,210031440
3046,210031239
3047,210051242
3047,210051243
3048,210051243
3048,210051247
3049,210051245
3050,206041124
3051,206041123
3052,206041124
3053,206041117
3054,206071140
3055,206011105
3055,206011107
3056,206011105
3057,206011106
3058,206011108
3058,210031236
3059,210051246
3060,210031237
3061,210051243
3062,210051249
3063,210051246
3063,210051445
3064,210051441
3064,209041225
3064,210051445
3064,210051249
3065,206071142
3066,206071141
3067,206071139
3068,206071145
3068,206071143
3070,206021111
3071,206021112
3072,209021429
3072,209021428
3073,209041223
3073,209021207
3074,209041223
3075,209041219
3076,209041433
3078,206021110
3079,209011200
3079,209011201
3081,209011199
3082,209041220
3083,209041217
3083,209021205
3084,209011198
3084,209011201
3084,209011203
3085,209021205
3085,209011203
3086,209021205
3087,209011204
3088,209011202
3088,209011197
3089,209031215
3090,209031213
3091,209031213
3093,209011202
3094,209011202
3095,209031209
3095,209031214
3096,209031215
3097,209031212
3097,209031214
3099,209031212
3099,209031210
3101,207011153
3102,207011154
3103,207011147
3103,207011154
3104,207011148
3105,207021156
3106,207021159
3107,207021160
3108,207021157
3109,207021425
3109,207021424
3111,211021261
3113,209031214
3113,211021262
3114,211021261
3115,211021262
3116,211051275
3121,206071144
3122,207011152
3122,207011151
3123,207011151
3123,207011152
3124,207011149
3124,207011152
3125,207031165
3125,207011155
3126,207011155
3127,207031167
3127,207011155
3128,207031163
3128,207031165
3129,207031164
3130,207031161
3130,207031162
3131,211041269
3131,211041271
3132,211041270
3132,211021261
3133,211041272
3133,211041273
3134,211031267
3134,211031266
3134,211031268
3134,211021262
3134,211031265
3135,211031267
3136,211031451
3136,211031265
3136,211031452
